,Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year
1216,The Mule,2018-12-14,2018,12,103804414,103804407,Drama,Warner Bros.,25
1217,History of the World: Part I,1981-06-12,1981,6,103788454,31672000,Comedy,20th Century Fox,23
1218,Jagged Edge,1985-10-04,1985,10,103717605,40491165,Thriller/Suspense,Sony Pictures,23
1219,Annabelle: Creation,2017-08-11,2017,8,103685611,102092201,Horror,Warner Bros.,25
1220,Passengers,2016-12-21,2016,12,103656404,100014699,Thriller/Suspense,Sony Pictures,25
1221,Rules of Engagement,2000-04-07,2000,4,103645864,61322858,Thriller/Suspense,Paramount Pictures,24
1222,The Cell,2000-08-18,2000,8,103575052,61280963,Thriller/Suspense,New Line,24
1223,The Interpreter,2005-04-22,2005,4,103334056,72708161,Thriller/Suspense,Universal,25
1224,Colors,1988-04-15,1988,4,103326604,46616067,Action,Orion Pictures,23
1225,Down to Earth,2001-02-16,2001,2,103287841,64172251,Comedy,Paramount Pictures,25
1226,Eragon,2006-12-15,2006,12,103113430,75030163,Adventure,20th Century Fox,25
1227,New Jack City,1991-03-08,1991,3,103053905,47624253,Action,Warner Bros.,23
1228,21,2008-03-28,2008,3,102975177,81159365,Thriller/Suspense,Sony Pictures,25
1229,City Heat,1984-12-07,1984,12,102900994,38348988,Action,Warner Bros.,23
1230,Sausage Party,2016-08-12,2016,8,102864381,97670358,Comedy,Sony Pictures,25
1231,The Terminator,1984-10-26,1984,10,102800255,38019031,Action,Orion Pictures,23
1232,Sideways,2004-10-22,2004,10,102645750,71502303,Drama,Fox Searchlight,25
1233,Percy Jackson & the Olympians: The Li…,2010-02-12,2010,2,102494196,88768303,Adventure,20th Century Fox,25
1234,Monster House,2006-07-21,2006,7,102450650,73661010,Adventure,Sony Pictures,25
1235,Bustin' Loose,1981-05-22,1981,5,102441622,31261000,Comedy,Universal,23
1236,Non-Stop,2014-02-28,2014,2,102297557,91742160,Action,Universal,25
1237,Hard To Kill,1990-02-09,1990,2,102285404,47381386,Action,Warner Bros.,23
1238,The Great Muppet Caper,1981-06-26,1981,6,102262210,31206251,Adventure,Universal,23
1239,The Equalizer 2,2018-07-20,2018,7,102084362,102084362,Action,Sony Pictures,25
1240,Addams Family Values,1993-11-19,1993,11,101971664,46293855,Comedy,Paramount Pictures,23
1241,The Distinguished Gentleman,1992-12-04,1992,12,101960568,46434570,Comedy,Walt Disney,23
1242,Heaven is for Real,2014-04-16,2014,4,101900524,91386097,Drama,Sony Pictures,25
1243,What Happens in Vegas...,2008-05-09,2008,5,101856459,80277646,Romantic Comedy,20th Century Fox,25
1244,D2: The Mighty Ducks,1994-03-25,1994,3,101827034,45604206,Comedy,Walt Disney,23
1245,Kingsman: The Golden Circle,2017-09-22,2017,9,101799139,100234838,Action,20th Century Fox,25
1246,The Muppets,2011-11-23,2011,11,101787233,88625922,Adventure,Walt Disney,25
1247,Jumper,2008-02-14,2008,2,101722579,80172128,Adventure,20th Century Fox,25
1248,Cloverfield,2008-01-18,2008,1,101565632,80048433,Action,Paramount Pictures,25
1249,Peggy Sue Got Married,1986-10-10,1986,10,101370022,41382841,Comedy,Sony/TriStar,23
1250,Malice,1993-10-01,1993,10,101307236,46038636,Thriller/Suspense,Sony Pictures,23
1251,Barnyard: The Original Party Animals,2006-08-04,2006,8,101223916,72779000,Adventure,Paramount Pictures,25
1252,Jackass: Number Two,2006-09-22,2006,9,101223515,72778712,Comedy,Paramount Pictures,25
1253,Disney Planes,2013-08-09,2013,8,101165347,90282580,Adventure,Walt Disney,25
1254,Rampage,2018-04-13,2018,4,101028233,101028233,Action,Warner Bros.,25
1255,Goodfellas,1990-09-19,1990,9,100974830,46743809,Drama,Warner Bros.,23
1256,Tomorrowland,2015-05-22,2015,5,100973290,93436322,Adventure,Walt Disney,25
1257,Wall Street,1987-12-11,1987,12,100872188,43848100,Drama,20th Century Fox,23
1258,The Rocketeer,1991-06-21,1991,6,100779156,46573027,Action,Walt Disney,23
1259,Poltergeist II: The Other Side,1986-05-23,1986,5,100668361,40996665,Horror,MGM,23
1260,Look Who's Talking Too,1990-12-14,1990,12,100645950,46614448,Comedy,Sony Pictures,23
1261,A Wrinkle in Time,2018-03-09,2018,3,100478608,100478608,Adventure,Walt Disney,25
1262,The Day the Earth Stood Still,2008-12-12,2008,12,100433423,79366978,Adventure,20th Century Fox,25
1263,Fifty Shades Freed,2018-02-09,2018,2,100407760,100407760,Drama,Universal,25
1264,Spy Game,2001-11-21,2001,11,100337294,62362560,Action,Universal,25
1265,Timecop,1994-09-16,1994,9,100151004,44853581,Action,Universal,23
1266,The Lone Ranger,2013-07-02,2013,7,100066691,89302115,Western,Walt Disney,25
1267,Short Circuit,1986-05-09,1986,5,99934386,40697761,Comedy,Sony/TriStar,23
1268,R.V.,2006-04-28,2006,4,99757269,71724497,Adventure,Sony Pictures,25
1269,Breakdown,1997-05-02,1997,5,99553333,50159144,Thriller/Suspense,Paramount Pictures,24
1270,The Imitation Game,2014-11-28,2014,11,99523634,91125143,Drama,Weinstein Co.,25
1271,Evita,1996-12-25,1996,12,99505004,50047179,Musical,Walt Disney,24
1272,The Campaign,2012-08-10,2012,8,99463508,86907746,Comedy,Warner Bros.,25
1273,Up in the Air,2009-12-04,2009,12,99448978,83823381,Drama,Paramount Pictures,25
1274,Pretty in Pink,1986-02-28,1986,2,99379204,40471663,Comedy,Paramount Pictures,23
1275,Absolute Power,1997-02-14,1997,2,99373046,50068310,Thriller/Suspense,Sony Pictures,24
1276,Christopher Robin,2018-08-03,2018,8,99215042,99215042,Adventure,Walt Disney,25
1277,Young Guns,1988-08-12,1988,8,99138618,44726644,Western,20th Century Fox,23
1278,Made In America,1993-05-28,1993,5,98895637,44942695,Comedy,Warner Bros.,23
1279,Medicine Man,1992-02-07,1992,2,98669508,44948240,Drama,Walt Disney,23
1280,RoboCop 2,1990-06-22,1990,6,98615039,45681173,Action,Orion Pictures,23
1281,The Last Emperor,1987-11-20,1987,11,98544018,43984987,Drama,Sony Pictures,23
1282,Hannah and Her Sisters,1986-02-07,1986,2,98427383,40084041,Romantic Comedy,Orion Pictures,23
1283,The Preacher's Wife,1996-12-13,1996,12,98423529,48102795,Drama,Walt Disney,24
1284,The Magnificent Seven,2016-09-23,2016,9,98400863,93432655,Western,Sony Pictures,25
1285,Clash of the Titans,1981-06-12,1981,6,98309344,30000000,Adventure,MGM,23
1286,Real Steel,2011-10-07,2011,10,98176211,85463309,Action,Walt Disney,25
1287,Thelma & Louise,1991-05-24,1991,5,98156460,45361000,Action,MGM,23
1288,V for Vendetta,2006-03-17,2006,3,98069542,70511035,Action,Warner Bros.,25
1289,Silkwood,1983-12-14,1983,12,98000461,35615609,Drama,20th Century Fox,23
1290,Guess Who,2005-03-25,2005,3,97944416,68915888,Comedy,Sony Pictures,25
1291,Breakin',1984-05-04,1984,5,97878268,36100000,Musical,Cannon,23
1292,Paranormal Activity 2,2010-10-20,2010,10,97857379,84752907,Horror,Paramount Pictures,25
1293,The Good Son,1993-09-24,1993,9,97825722,44456478,Thriller/Suspense,20th Century Fox,23
1294,World Trade Center,2006-08-09,2006,8,97746665,70278893,Drama,Paramount Pictures,25
1295,Get Hard,2015-03-27,2015,3,97704422,90411453,Comedy,Warner Bros.,25
1296,Porky's II: The Next Day,1983-06-24,1983,6,97633938,33759266,Comedy,20th Century Fox,23
1297,Sahara,2005-04-08,2005,4,97597689,68671925,Adventure,Paramount Pictures,25
1298,Big Momma's House 2,2006-01-27,2006,1,97589618,70165972,Comedy,20th Century Fox,25
1299,The Brady Bunch Movie,1995-02-17,1995,2,97479441,46546167,Comedy,Paramount Pictures,24
1300,The Expendables 2,2012-08-17,2012,8,97312410,85028192,Action,Lionsgate,25
1301,The Wedding Planner,2001-01-26,2001,1,97217629,60400856,Romantic Comedy,Sony Pictures,25
1302,The Addams Family,2019-10-11,2019,10,97185807,97185807,Adventure,United Artists,25
1303,Knowing,2009-03-20,2009,3,97121865,79957634,Thriller/Suspense,Summit Entertainment,25
1304,St. Elmo’s Fire,1985-06-28,1985,6,97002251,37800000,Drama,Sony Pictures,23
1305,Terminator: Genisys,2015-07-01,2015,7,97001458,89760956,Action,Paramount Pictures,25
1306,City Slickers II: The Legend of Curly…,1994-06-10,1994,6,96996812,43440947,Comedy,Sony Pictures,23
1307,"Crazy, Stupid, Love",2011-07-29,2011,7,96902824,84351197,Comedy,Warner Bros.,25
1308,Downton Abbey,2019-09-20,2019,9,96853867,96853865,Drama,Focus Features,25
1309,Neighbors,1981-12-18,1981,12,96785806,29916207,Comedy,Columbia,23
1310,Passenger 57,1992-11-06,1992,11,96732066,44065653,Action,Warner Bros.,23
1311,No Country for Old Men,2007-11-09,2007,11,96714739,74273505,Action,Miramax,25
1312,Hannah Montana the Movie,2009-04-10,2009,4,96658548,79576189,Drama,Walt Disney,25
1313,Taken 3,2015-01-09,2015,1,96456234,89256424,Action,20th Century Fox,25
1314,Rocketman,2019-05-31,2019,5,96368160,96368160,Drama,Paramount Pictures,25
1315,Rocky Balboa,2006-12-20,2006,12,96244526,70269899,Drama,MGM,25
1316,The Jungle Book,1994-12-25,1994,12,96103822,44342956,Adventure,Walt Disney,23
1317,Dumb and Dumber To,2014-11-14,2014,11,96080446,86208010,Comedy,Universal,25
1318,Blade Runner,1982-06-25,1982,6,96053827,32656328,Thriller/Suspense,Warner Bros.,23
1319,Battle: Los Angeles,2011-03-11,2011,3,95985192,83552429,Action,Sony Pictures,25
1320,Immortals,2011-11-11,2011,11,95925913,83504017,Action,Relativity,25
1321,The Game,1997-09-12,1997,9,95795084,48265581,Thriller/Suspense,Polygram,24
1322,Wrath of the Titans,2012-03-30,2012,3,95758089,83670083,Adventure,Warner Bros.,25
1323,Biloxi Blues,1988-03-25,1988,3,95721048,43184798,Comedy,Universal,23
1324,Ride Along 2,2016-01-15,2016,1,95694683,90862685,Comedy,Universal,25
1325,"Fort Apache, The Bronx",1981-01-01,1981,1,95687769,29200000,,20th Century Fox,23
1326,Fury,2014-10-17,2014,10,95671963,85817906,Drama,Sony Pictures,25
1327,G.I. Jane,1997-08-22,1997,8,95603702,48169156,Drama,Walt Disney,24
1328,Coach Carter,2005-01-14,2005,1,95597971,67264877,Drama,Paramount Pictures,25
1329,All of Me,1984-09-21,1984,9,95556257,35243581,Comedy,Universal,23
1330,Speed 2: Cruise Control,1997-06-13,1997,6,95460647,48097081,Action,20th Century Fox,24
1331,A River Runs Through It,1992-10-09,1992,10,95418386,43440294,Drama,Sony Pictures,23
1332,Three Amigos,1986-12-12,1986,12,95392650,39246734,Comedy,Orion Pictures,23
1333,Romeo+Juliet,1996-11-01,1996,11,95390518,46338728,Drama,20th Century Fox,24
1334,1408,2007-06-22,2007,6,95318176,71985628,Horror,MGM,25
1335,Fred Claus,2007-11-09,2007,11,95312473,72006777,Comedy,Warner Bros.,25
1336,Young Guns II,1990-08-01,1990,8,95295365,44143410,Western,20th Century Fox,23
1337,Young Doctors in Love,1982-07-16,1982,7,95093706,30688860,Comedy,20th Century Fox,23
1338,Beverly Hills Cop III,1994-05-25,1994,5,95089779,42586861,Comedy,Paramount Pictures,23
1339,About Last Night...,1986-07-01,1986,7,95034509,38702310,Comedy,Sony Pictures,23
1340,Annie,2014-12-19,2014,12,94799853,85911262,Musical,Sony Pictures,25
1341,Alien: Resurrection,1997-11-26,1997,11,94791053,47795018,Action,20th Century Fox,24
1342,The Descendants,2011-11-16,2011,11,94736539,82624961,Drama,Fox Searchlight,25
1343,Running Scared,1986-06-27,1986,6,94539517,38500726,Comedy,MGM,23
1344,Behind Enemy Lines,2001-11-30,2001,11,94516751,58855732,Action,20th Century Fox,25
1345,Tammy,2014-07-02,2014,7,94250511,84525432,Comedy,Warner Bros.,25
1346,Dirty Rotten Scoundrels,1988-12-14,1988,12,94124675,42039000,Comedy,Orion Pictures,23
1347,One Fine Day,1996-12-20,1996,12,94101189,46169663,Romantic Comedy,20th Century Fox,24
1348,Don’t Breathe,2016-08-26,2016,8,93962408,89217875,Horror,Sony Pictures,25
1349,Places in the Heart,1984-09-21,1984,9,93888872,34900814,Drama,Sony/TriStar,23
1350,Herbie: Fully Loaded,2005-06-22,2005,6,93815491,66010682,Adventure,Walt Disney,25
1351,The World According to Garp,1982-07-23,1982,7,93601606,30207324,Comedy,Warner Bros.,23
1352,Point Break,1991-07-12,1991,7,93520072,43218387,Action,20th Century Fox,23
1353,Blade Runner 2049,2017-10-06,2017,10,93484661,92054159,Thriller/Suspense,Warner Bros.,25
1354,John Wick: Chapter Two,2017-02-10,2017,2,93465530,92029184,Action,Lionsgate,25
1355,Marked for Death,1990-04-18,1990,4,93311653,43224499,Action,20th Century Fox,23
1356,Little Shop of Horrors,1986-12-19,1986,12,93247254,38747385,Musical,Warner Bros.,23
1357,The Beverly Hillbillies,1993-10-15,1993,10,93081197,42222647,Comedy,20th Century Fox,23
1358,Always,1989-12-22,1989,12,93069664,41843630,Drama,Universal,23
1359,Regarding Henry,1991-07-10,1991,7,93050752,43001500,Drama,Paramount Pictures,23
1360,Sisters,2015-12-18,2015,12,93023768,87044645,Comedy,Universal,25
1361,Teenage Mutant Ninja Turtles III,1993-03-19,1993,3,93022356,42273609,Adventure,New Line,23
1362,Mad Max Beyond Thunderdome,1985-07-10,1985,7,92973881,36230219,Action,Warner Bros.,23
1363,The Amityville Horror,2005-04-15,2005,4,92710757,65233369,Horror,Filmways Pictures,25
1364,Three Fugitives,1989-01-27,1989,1,92675411,40590000,Comedy,Walt Disney,23
1365,The Golden Compass,2007-12-07,2007,12,92585768,70107728,Adventure,New Line,25
1366,Psycho II,1983-06-03,1983,6,92546030,32000000,Horror,Universal,23
1367,Bill & Ted's Excellent Adventure,1989-02-17,1989,2,92435763,40485039,Adventure,Orion Pictures,23
1368,Zookeeper,2011-07-08,2011,7,92318718,80360866,Romantic Comedy,Sony Pictures,25
1369,The Fly,1986-08-15,1986,8,92290923,37585000,Horror,20th Century Fox,23
1370,The Money Pit,1986-03-26,1986,3,92081347,37499651,Comedy,Universal,23
1371,Homeward Bound: The Incredible Journey,1993-02-03,1993,2,92053516,41833324,Adventure,Walt Disney,23
1372,Alvin and the Chipmunks: The Road Chip,2015-12-18,2015,12,91981875,85886987,Adventure,20th Century Fox,25
1373,The Great Outdoors,1988-06-17,1988,6,91887377,41455230,Comedy,Universal,23
1374,Miss Peregrine’s Home for Peculiar …,2016-09-30,2016,9,91871152,87242834,Adventure,20th Century Fox,25
1375,Flash Gordon,1980-12-05,1980,12,91804276,27107960,Action,Universal,22
1376,Blind Date,1987-03-27,1987,3,91614906,39321000,Comedy,Sony/TriStar,23
1377,War Horse,2011-12-25,2011,12,91599428,79883359,Drama,Walt Disney,25
1378,Jack Reacher,2012-12-21,2012,12,91270831,80070736,Drama,Paramount Pictures,25
1379,Dark Shadows,2012-05-11,2012,5,91245514,79727149,Black Comedy,Warner Bros.,25
1380,Roxanne,1987-06-19,1987,6,91212217,39148164,Romantic Comedy,Sony Pictures,23
1381,Sky High,2005-07-29,2005,7,90871822,63939454,Adventure,Walt Disney,25
1382,Step Up,2006-08-11,2006,8,90860935,65328121,Drama,Walt Disney,25
1383,The Accountant,2016-10-14,2016,10,90832130,86260045,Thriller/Suspense,Warner Bros.,25
1384,The Fisher King,1991-09-20,1991,9,90446986,41798224,Drama,Sony Pictures,23
1385,Falling Down,1993-02-26,1993,2,90007656,40903593,Drama,Warner Bros.,23
1386,Commando,1985-10-04,1985,10,90006736,35073978,Action,20th Century Fox,23
1387,Bewitched,2005-06-24,2005,6,89981720,63313159,Comedy,Sony Pictures,25
1388,Gung Ho,1986-03-14,1986,3,89900741,36611610,Comedy,Paramount Pictures,23
1389,Gremlins 2: The New Batch,1990-06-15,1990,6,89537261,41476097,Comedy,Warner Bros.,23
1390,Friday the 13th Part IV: The Final Ch…,1984-04-13,1984,4,89421373,32980880,Horror,Paramount Pictures,23
1391,The Piano,1993-11-12,1993,11,89057383,40157856,Drama,Miramax,23
1392,The Killing Fields,1984-11-02,1984,11,89033506,34609720,Drama,Warner Bros.,23
1393,Big Business,1988-06-10,1988,6,88995353,40150487,Comedy,Walt Disney,23
1394,The Jazz Singer,1981-05-01,1981,5,88865098,27118000,,Universal,23
1395,Spaceballs,1987-06-24,1987,6,88815467,38119483,Comedy,MGM,23
1396,Sense and Sensibility,1995-12-11,1995,12,88758648,42993774,Drama,Sony Pictures,24
1397,K-9,1989-04-28,1989,4,88723611,38859189,Comedy,Universal,23
1398,Tequila Sunrise,1988-12-02,1988,12,88636410,39703427,Thriller/Suspense,Warner Bros.,23
1399,The Running Man,1987-11-13,1987,11,88627737,38122000,Action,Sony/TriStar,23
1400,Mannequin,1987-02-13,1987,2,88579017,38018000,Comedy,20th Century Fox,23
1401,"The Karate Kid, Part III",1989-06-30,1989,6,88573123,38793278,Action,Sony Pictures,23
1402,Rocky V,1990-11-16,1990,11,88393674,40946358,Action,MGM,23
1403,Maze Runner: The Scorch Trials,2015-09-18,2015,9,88285402,81697192,Thriller/Suspense,20th Century Fox,25
1404,Mo' Money,1992-07-24,1992,7,88224310,40190000,Comedy,Sony Pictures,23
1405,The Elephant Man,1980-10-03,1980,10,88088835,26010864,Drama,Paramount Pictures,22
1406,Ted 2,2015-06-26,2015,6,88048624,81476385,Comedy,Universal,25
1407,Encino Man,1992-05-22,1992,5,87932635,40057130,Comedy,Walt Disney,23
1408,Parental Guidance,2012-12-25,2012,12,87833728,77267296,Adventure,20th Century Fox,25
1409,The Emoji Movie,2017-07-28,2017,7,87433161,86089513,Adventure,Sony Pictures,25
1410,Charlie Wilson's War,2007-12-21,2007,12,86887017,66661095,Drama,Universal,25
1411,Power Rangers,2017-03-24,2017,3,86696782,85364450,Action,Lionsgate,25
1412,Hocus Pocus,1993-07-16,1993,7,86612086,39360491,Comedy,Walt Disney,23
1413,Goosebumps,2015-10-16,2015,10,86502456,80069458,Horror,Sony Pictures,25
1414,Teenage Mutant Ninja Turtles: Out of …,2016-06-03,2016,6,86415037,82051601,Adventure,Paramount Pictures,25
1415,On Deadly Ground,1994-02-18,1994,2,86166434,38590458,Action,Warner Bros.,23
1416,What's Love Got to Do With It,1993-06-09,1993,6,86040989,39100956,Drama,Walt Disney,23
1417,Out for Justice,1991-04-12,1991,4,85848568,39673161,Action,Warner Bros.,23
1418,Alita: Battle Angel,2019-02-14,2019,2,85710210,85710210,Action,20th Century Fox,25
1419,Twilight Zone: The Movie,1983-06-24,1983,6,85315870,29500000,Horror,Warner Bros.,23
1420,Ferdinand,2017-12-15,2017,12,85246114,84410380,Adventure,20th Century Fox,25
1421,Silverado,1985-07-10,1985,7,85197740,33200000,Western,Sony Pictures,23
1422,Midnight Run,1988-07-20,1988,7,85145485,38413606,Action,Universal,23
1423,Pixels,2015-07-24,2015,7,85119586,78765986,Adventure,Sony Pictures,25
1424,Green Book,2018-11-16,2018,11,85080171,85080171,Comedy,Universal,25
1425,The Mirror Has Two Faces,1996-11-15,1996,11,85017636,41267469,Romantic Comedy,Sony Pictures,24
1426,Joe Versus the Volcano,1990-03-09,1990,3,85016506,39381963,Comedy,Warner Bros.,23
1427,Hot Shots! Part Deux,1993-05-21,1993,5,84980093,38618836,Comedy,20th Century Fox,23
1428,Teen Wolf,1985-08-23,1985,8,84906767,33086611,Comedy,Atlantic,23
1429,Easy Money,1983-08-19,1983,8,84765699,29309766,Comedy,Orion Pictures,23
1430,The Last Dragon,1985-03-22,1985,3,84684501,33000000,Action,Sony Pictures,23
1431,Only When I Laugh,1981-09-23,1981,9,84488053,25782304,,Columbia,23
1432,It Could Happen To You,1994-07-29,1994,7,84366562,37784369,Romantic Comedy,Sony Pictures,23
1433,The Dead Pool,1988-07-13,1988,7,84013705,37903000,Action,Warner Bros.,23
1434,Fast Times at Ridgemont High,1982-08-13,1982,8,83951064,27092880,Comedy,Universal,23
1435,Halloween II,1981-10-30,1981,10,83673765,25533818,Horror,Universal,23
1436,I Can Only Imagine,2018-03-16,2018,3,83482352,83482352,Drama,Roadside Attractions,25
1437,Tron,1982-07-09,1982,7,83410960,26918576,Action,Walt Disney,23
1438,The Purge: Election Year,2016-07-01,2016,7,83245850,79042440,Horror,Universal,25
1439,Smallfoot,2018-09-28,2018,9,83240103,83240103,Adventure,Warner Bros.,25
1440,Good Boys,2019-08-16,2019,8,83140306,83140306,Comedy,Universal,25
1441,Ri¢hie Ri¢h,1994-12-21,1994,12,83005419,38087756,Comedy,Warner Bros.,23
1442,No Way Out,1987-08-14,1987,8,82734442,35509515,Thriller/Suspense,Orion Pictures,23
1443,Escape from New York,1981-07-10,1981,7,82726334,25244700,Action,Avco Embassy,23
1444,Nobody's Fool,1994-12-23,1994,12,82686851,39453238,Drama,Paramount Pictures,23
1445,Paddington,2015-01-16,2015,1,82372092,76223578,Adventure,Weinstein Co.,25
1446,Dead Again,1991-08-23,1991,8,82263473,38016380,Thriller/Suspense,Paramount Pictures,23
1447,High Road to China,1983-03-18,1983,3,82182203,28416459,Adventure,Warner Bros.,23
1448,Bronco Billy,1980-06-11,1980,6,82178495,24265659,Adventure,Warner Bros.,22
1449,The Paper,1994-03-18,1994,3,82097862,36768310,Comedy,Universal,23
1450,Postcards from the Edge,1990-09-12,1990,9,81953906,37963281,Comedy,Sony Pictures,23
1451,The Post,2017-12-22,2017,12,81930931,81903458,Drama,20th Century Fox,25
1452,Summer School,1987-07-22,1987,7,81813922,35114428,Comedy,Paramount Pictures,23
1453,The Mummy,2017-06-09,2017,6,81351307,80101125,Adventure,Universal,25
1454,Junior,1994-11-23,1994,11,81267541,36763355,Comedy,Universal,23
1455,Bill & Ted's Bogus Journey,1991-07-19,1991,7,81227602,37537675,Adventure,Orion Pictures,23
1456,The Doctor,1991-07-24,1991,7,81140620,37497480,Drama,Walt Disney,23
1457,Alice Through the Looking Glass,2016-05-27,2016,5,81139427,77042381,Adventure,Walt Disney,25
1458,The `Burbs,1989-02-17,1989,2,80785020,35382246,Comedy,Universal,23
1459,Pete’s Dragon,2016-08-12,2016,8,80287168,76233151,Adventure,Walt Disney,25
1460,Like Father Like Son,1987-10-02,1987,10,80097133,34377585,Comedy,Sony Pictures,23
1461,Men in Black: International,2019-06-14,2019,6,80001807,80001807,Adventure,Sony Pictures,25
1462,Universal Soldier,1992-07-10,1992,7,79684833,36299898,Action,Sony Pictures,23
1463,Happy Gilmore,1996-02-16,1996,2,79606268,38623460,Comedy,Universal,24
1464,The Ghost and the Darkness,1996-10-11,1996,10,79424733,38564422,Action,Paramount Pictures,24
1465,Nothing in Common,1986-07-30,1986,7,79372405,32324000,Comedy,Sony/TriStar,23
1466,Licence to Kill,1989-07-14,1989,7,79151998,34667015,Action,MGM,23
1467,Caligula,1980-02-01,1980,2,79099925,23400000,Drama,Analysis,22
1468,Dangerous Liaisons,1988-12-21,1988,12,79091572,34700000,Drama,Warner Bros.,23
1469,Soapdish,1991-05-31,1991,5,78960296,36489888,Comedy,Paramount Pictures,23
1470,Body Heat,1981-08-28,1981,8,78837539,24058000,Thriller/Suspense,Warner Bros.,23
1471,Adventures in Babysitting,1987-07-03,1987,7,78730251,33790923,Comedy,Walt Disney,23
1472,Modern Problems,1981-12-25,1981,12,78726015,24474312,Comedy,20th Century Fox,23
1473,Seems Like Old Times,1980-12-19,1980,12,78569514,23200000,Romantic Comedy,Columbia,22
1474,Graduation Day,1981-05-01,1981,5,78300122,23894000,Thriller/Suspense,IFI Scope,23
1475,Uncommon Valor,1983-12-16,1983,12,78172254,27900000,Action,Paramount Pictures,23
1476,Mississippi Burning,1988-12-09,1988,12,77916026,34603000,Drama,Orion Pictures,23
1477,The Gods Must Be Crazy,1984-07-09,1984,7,77652456,30031783,Comedy,20th Century Fox,23
1478,Red Heat,1988-06-17,1988,6,77567204,34994648,Action,Sony/TriStar,23
1479,Mars Attacks!,1996-12-13,1996,12,77545914,37771017,Comedy,Warner Bros.,24
1480,Night School,2018-09-28,2018,9,77339130,77339130,Comedy,Universal,25
1481,Children of a Lesser God,1986-10-03,1986,10,77244382,31853080,Drama,Paramount Pictures,23
1482,Other People's Money,1991-10-18,1991,10,77212115,35682000,Comedy,Warner Bros.,23
1483,Xanadu,1980-08-08,1980,8,77088109,22762571,Musical,Universal,22
1484,American Gigolo,1980-02-01,1980,2,77024112,22743674,Drama,Paramount Pictures,22
1485,Raging Bull,1980-11-14,1980,11,76736700,23380203,Drama,United Artists,22
1486,Airplane II: The Sequel,1982-12-10,1982,12,76562918,25009494,Comedy,Paramount Pictures,23
1487,Never Cry Wolf,1983-10-07,1983,10,76370497,27668764,Drama,Walt Disney,23
1488,Starman,1984-12-14,1984,12,76284890,28700000,Adventure,Sony Pictures,23
1489,Mad Max 2: The Road Warrior,1982-05-21,1982,5,76229100,24600832,Action,Warner Bros.,23
1490,Cannonball Run II,1984-06-29,1984,6,76187795,28100000,Comedy,Warner Bros.,23
1491,My Bodyguard,1980-07-11,1980,7,76141143,22482952,Comedy,20th Century Fox,22
1492,Fletch Lives,1989-03-17,1989,3,75955153,33266859,Comedy,Universal,23
1493,Murphy's Romance,1985-12-25,1985,12,75945160,30762621,Romantic Comedy,Sony Pictures,23
1494,Mermaids,1990-12-14,1990,12,75877737,35140500,Comedy,Orion Pictures,23
1495,*batteries not included,1987-12-18,1987,12,75846307,32945797,Comedy,Universal,23
1496,Freddy’s Dead: The Final Nightmare,1991-09-13,1991,9,75459433,34872033,Horror,New Line,23
1497,White Fang,1991-01-18,1991,1,75150121,34729091,Adventure,Walt Disney,23
1498,Teachers,1984-10-05,1984,10,75103268,27700000,Drama,MGM/UA Classics,23
1499,The Lost Boys,1987-07-31,1987,7,75076102,32222567,Horror,Warner Bros.,23
1500,In Search of Historic Jesus,1980-01-01,1980,1,74505570,22000000,,Sunn Classics Pictures,22
1501,The Doors,1991-03-01,1991,3,74474551,34416893,Drama,Sony Pictures,23
1502,The Outsiders,1983-03-25,1983,3,74319225,25697647,Drama,Warner Bros.,23
1503,Set It Off,1996-11-06,1996,11,74192660,36049108,Drama,New Line,24
1504,Annabelle Comes Home,2019-06-26,2019,6,74152594,74152591,Horror,Warner Bros.,25
1505,The French Lieutenant's Woman,1981-09-18,1981,9,74059709,22600000,Drama,United Artists,23
1506,Child's Play,1988-11-09,1988,11,73988742,33244684,Horror,United Artists,23
1507,The Accidental Tourist,1988-12-23,1988,12,73931394,32632000,Drama,Warner Bros.,23
1508,Dune,1984-12-14,1984,12,73899127,27447471,Action,Universal,23
1509,Can’t Buy Me Love,1987-08-14,1987,8,73681097,31623833,Romantic Comedy,Walt Disney,23
1510,Yesterday,2019-06-28,2019,6,73286652,73286650,Drama,Universal,25
1511,Tyler Perry’s A Madea Family Funeral,2019-03-01,2019,3,73257045,73257045,Comedy,Lionsgate,25
1512,Sophie's Choice,1982-12-10,1982,12,73198668,25215547,Drama,Universal,23
1513,Zombieland: Double Tap,2019-10-18,2019,10,73118130,73118130,Comedy,Sony Pictures,25
1514,The Princess Bride,1987-09-25,1987,9,71894435,30857000,Adventure,20th Century Fox,23
1515,Fame,1980-05-16,1980,5,71805858,21202829,Musical,MGM,22
1516,Conan the Destroyer,1984-06-29,1984,6,71578564,26400000,Action,Universal,23
1517,Friday the 13th Part 2,1981-04-30,1981,4,71185066,21722776,Horror,Paramount Pictures,23
1518,Darkman,1990-08-24,1990,8,71115721,32942739,Action,Universal,23
1519,The Accused,1988-10-14,1988,10,71103031,32078318,Drama,Paramount Pictures,23
1520,Desperately Seeking Susan,1985-03-29,1985,3,70313795,27400000,Comedy,Orion Pictures,23
1521,A Passage to India,1984-12-14,1984,12,69963424,27187653,Drama,Sony Pictures,23
